                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                 1.3521,                0.76587,                  1.596,                0.88537,                0.86457,                0.92183,                0.45018,                  1.605,                0.74996,                 1.9948,               0.004357,               0.004357,               0.004357
                    116,                 1.3666,                0.78407,                 1.6026,                0.81311,                 0.8746,                0.90662,                0.44347,                 1.6218,                0.74128,                 2.0208,              0.0043075,              0.0043075,              0.0043075
                    117,                   1.35,                0.76339,                    1.6,                0.89069,                0.84137,                0.91889,                0.44176,                 1.6113,                0.78129,                 1.9883,               0.004258,               0.004258,               0.004258
                    118,                  1.357,                0.78451,                 1.6204,                0.85934,                0.87289,                0.92449,                0.45312,                 1.6083,                0.75497,                 1.9845,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.3602,                0.78729,                 1.5931,                0.81837,                0.78116,                0.82802,                0.39369,                 1.6633,                0.82704,                   2.04,               0.004159,               0.004159,               0.004159
                    120,                 1.3282,                0.76634,                  1.583,                0.90832,                0.81892,                0.91454,                0.45025,                 1.5907,                0.75044,                 1.9587,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.3588,                0.79115,                 1.6129,                0.93343,                0.78419,                0.91779,                0.45446,                 1.5984,                0.75086,                 1.9723,                0.00406,                0.00406,                0.00406
                    122,                 1.3285,                0.76929,                 1.5933,                0.88068,                0.84202,                0.90691,                0.44401,                 1.6243,                0.74315,                 2.0243,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.3463,                0.77456,                 1.5994,                0.86593,                0.83523,                0.90264,                0.43687,                 1.6138,                0.76951,                 1.9907,               0.003961,               0.003961,               0.003961
                    124,                 1.3378,                0.76124,                 1.5846,                0.88043,                0.80574,                0.89643,                0.43434,                  1.603,                0.76027,                 1.9943,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.3152,                0.76433,                 1.5775,                0.82486,                0.83205,                0.88808,                0.42438,                 1.6446,                 0.7837,                 2.0683,               0.003862,               0.003862,               0.003862
                    126,                  1.352,                0.77026,                 1.6103,                0.89006,                0.83095,                0.91408,                0.44506,                 1.6223,                0.74073,                 2.0315,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.3352,                   0.74,                 1.5957,                0.85338,                0.80736,                0.88364,                  0.439,                 1.6095,                0.78217,                 2.0189,               0.003763,               0.003763,               0.003763
                    128,                 1.3433,                0.77991,                 1.5925,                0.90703,                0.76996,                0.86894,                0.42783,                 1.6282,                0.78243,                 2.0128,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.3167,                0.75478,                  1.563,                0.88141,                0.84196,                0.90991,                0.44076,                 1.5881,                0.76245,                 1.9605,               0.003664,               0.003664,               0.003664
                    130,                 1.3182,                0.73969,                   1.57,                0.89354,                0.84261,                0.91425,                0.44218,                 1.5989,                0.75443,                 1.9885,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.3259,                0.75165,                 1.5784,                0.89312,                0.84743,                0.90393,                0.44502,                 1.6009,                0.72919,                 2.0164,               0.003565,               0.003565,               0.003565
                    132,                 1.3238,                0.76255,                 1.5961,                0.92253,                0.82659,                0.91825,                0.44772,                 1.6118,                0.74519,                 1.9988,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.3244,                0.75033,                 1.5833,                0.87686,                0.86601,                0.91407,                0.43547,                 1.6254,                0.76655,                 2.0375,               0.003466,               0.003466,               0.003466
                    134,                 1.2992,                0.73984,                   1.57,                0.90426,                0.85828,                 0.9274,                0.44958,                  1.603,                0.74258,                 2.0059,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.3323,                0.76271,                 1.5784,                  0.883,                0.85283,                0.90757,                0.44354,                 1.6039,                0.74477,                 2.0019,               0.003367,               0.003367,               0.003367
                    136,                 1.3234,                0.76329,                 1.5928,                0.86046,                0.87006,                0.91983,                0.45836,                 1.5983,                0.72501,                 2.0105,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.3046,                0.74403,                 1.5675,                0.90068,                0.79644,                 0.8968,                0.44154,                  1.602,                0.75184,                 1.9912,               0.003268,               0.003268,               0.003268
                    138,                 1.3493,                0.76871,                 1.5981,                 0.9045,                0.82474,                0.91887,                0.44958,                 1.6248,                0.74237,                 2.0387,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.3202,                0.75592,                 1.5844,                0.88938,                0.83886,                0.91998,                0.45689,                 1.6035,                0.73484,                 2.0058,               0.003169,               0.003169,               0.003169
                    140,                 1.2942,                  0.744,                 1.5713,                0.87472,                0.82224,                0.89402,                0.44076,                 1.6212,                0.74026,                 2.0175,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.3239,                0.75119,                  1.596,                0.87891,                0.84153,                0.90849,                0.44946,                 1.6261,                0.73503,                 2.0367,                0.00307,                0.00307,                0.00307
                    142,                 1.2783,                0.72605,                 1.5372,                 0.8729,                0.86471,                0.90744,                  0.451,                  1.606,                0.72586,                  2.025,              0.0030205,              0.0030205,              0.0030205
